coin_number,title,short_id,url,upload_date,duration
44,Silver Coin #44 has been found in #HuntTheMouse Singapore!,TFO3rh4-SNI,https://www.youtube.com/shorts/TFO3rh4-SNI,20241016,8
45,Silver Coin #45 has been found in #HuntTheMouse Singapore!,YKv5xKHNuGg,https://www.youtube.com/shorts/YKv5xKHNuGg,20241013,21
46,Silver Coin #46 has been found in #HuntTheMouse Singapore!,_FhdF9idORc,https://www.youtube.com/shorts/_FhdF9idORc,20241017,15
47,Silver Coin #47 has been found in #HuntTheMouse Singapore!,x6-S8zD7JjU,https://www.youtube.com/shorts/x6-S8zD7JjU,20241015,31
48,Silver Coin #48 has been found in #HuntTheMouse Singapore!,_W9yNmf51MM,https://www.youtube.com/shorts/_W9yNmf51MM,20241017,29
49,Silver Coin #49 has been found in #HuntTheMouse Singapore!,59yaFjAkenU,https://www.youtube.com/shorts/59yaFjAkenU,20241015,15
50,Silver Coin #50 has been found in #HuntTheMouse Singapore!,V4umLWrpR6o,https://www.youtube.com/shorts/V4umLWrpR6o,20241015,17
51,Silver Coin #51 has been found in #HuntTheMouse Singapore!,gHF4jr5evcg,https://www.youtube.com/shorts/gHF4jr5evcg,20241016,26
52,Silver Coin #52 has been found in #HuntTheMouse Singapore!,2EP8jD2OSpc,https://www.youtube.com/shorts/2EP8jD2OSpc,20241015,15
53,Silver Coin #53 has been found in #HuntTheMouse Singapore!,buM7VTC_dMc,https://www.youtube.com/shorts/buM7VTC_dMc,20241014,15
54,Silver Coin #54 has been found in #HuntTheMouse Singapore!,_RQDqAikyLk,https://www.youtube.com/shorts/_RQDqAikyLk,20241016,14
55,Silver Coin #55 has been found in #HuntTheMouse Singapore!,0oh8kasxHjU,https://www.youtube.com/shorts/0oh8kasxHjU,20241016,19
56,Silver Coin #56 has been found in #HuntTheMouse Singapore!,nJ-iGtHKUAg,https://www.youtube.com/shorts/nJ-iGtHKUAg,20241015,19
57,Silver Coin #57 has been found in #HuntTheMouse Singapore!,i0DNRLb7QQQ,https://www.youtube.com/shorts/i0DNRLb7QQQ,20241018,19
58,Silver Coin #58 has been found in #HuntTheMouse Singapore!,70Svmr4Cl_o,https://www.youtube.com/shorts/70Svmr4Cl_o,20241016,20
59,Silver Coin #59 has been found in #HuntTheMouse Singapore!,qsHZENDy3W4,https://www.youtube.com/shorts/qsHZENDy3W4,20241015,20
60,Silver Coin #60 has been found in #HuntTheMouse Singapore!,-uKx_Je2Y-k,https://www.youtube.com/shorts/-uKx_Je2Y-k,20241013,19
61,Silver Coin #61 has been found in #HuntTheMouse Singapore!,Ge9J0Hk_bw4,https://www.youtube.com/shorts/Ge9J0Hk_bw4,20241016,18
62,Silver Coin #62 has been found in #HuntTheMouse Singapore!,pNe6EDDiAWM,https://www.youtube.com/shorts/pNe6EDDiAWM,20241016,17
63,Silver Coin #63 has been found in #HuntTheMouse Singapore!,Tz5SpqYf7tI,https://www.youtube.com/shorts/Tz5SpqYf7tI,20241016,14
64,Silver Coin #64 has been found in #HuntTheMouse Singapore!,hl_eLa3judA,https://www.youtube.com/shorts/hl_eLa3judA,20241017,15
66,Silver Coin #66 has been found in #HuntTheMouse Singapore!,JxRydjhEERY,https://www.youtube.com/shorts/JxRydjhEERY,20241018,14
67,Silver Coin #67 has been found in #HuntTheMouse Singapore!,f4_hWZz9TWE,https://www.youtube.com/shorts/f4_hWZz9TWE,20241016,17
68,Silver Coin #68 has been found in #HuntTheMouse Singapore!,AYohbCkHxJ4,https://www.youtube.com/shorts/AYohbCkHxJ4,20241017,17
69,Silver Coin #69 has been found in #HuntTheMouse Singapore!,eIHs32K2SCA,https://www.youtube.com/shorts/eIHs32K2SCA,20241017,16
70,Silver Coin #70 has been found in #HuntTheMouse Singapore!,vMJFTF2k-6I,https://www.youtube.com/shorts/vMJFTF2k-6I,20241017,19
71,Silver Coin #71 has been found in #HuntTheMouse Singapore!,qwt0EqdPwzs,https://www.youtube.com/shorts/qwt0EqdPwzs,20241024,20
72,Silver Coin #72 has been found in #HuntTheMouse Singapore!,s8br74UBLOM,https://www.youtube.com/shorts/s8br74UBLOM,20241018,13
74,Silver Coin #74 has been found in #HuntTheMouse Singapore!,nRO2JPJ7FZM,https://www.youtube.com/shorts/nRO2JPJ7FZM,20241018,25
75,Silver Coin #75 has been found in #HuntTheMouse Singapore!,WxxM1uBo3zI,https://www.youtube.com/shorts/WxxM1uBo3zI,20241018,17
76,Silver Coin #76 has been found in #HuntTheMouse Singapore!,-2oDcZlUq98,https://www.youtube.com/shorts/-2oDcZlUq98,20241019,17
77,Silver Coin #77 has been found in #HuntTheMouse Singapore!,cZtAYgw3tT0,https://www.youtube.com/shorts/cZtAYgw3tT0,20241019,17
78,Silver Coin #78 has been found in #HuntTheMouse Singapore!,FN8KisXpZVc,https://www.youtube.com/shorts/FN8KisXpZVc,20241019,21
79,Silver Coin #79 has been found in #HuntTheMouse Singapore!,mk0hExPeWbw,https://www.youtube.com/shorts/mk0hExPeWbw,20241016,20
80,Silver Coin #80 has been found in #HuntTheMouse Singapore!,f8lK5d7pqAY,https://www.youtube.com/shorts/f8lK5d7pqAY,20241019,21
81,Silver Coin #81 has been found in #HuntTheMouse Singapore!,x7rCDZRT-fE,https://www.youtube.com/shorts/x7rCDZRT-fE,20241018,17
82,Silver Coin #82 has been found in #HuntTheMouse Singapore!,mLX5vGKgBWQ,https://www.youtube.com/shorts/mLX5vGKgBWQ,20241019,17
83,Silver Coin #83 has been found in #HuntTheMouse Singapore!,-gumHXmmbAA,https://www.youtube.com/shorts/-gumHXmmbAA,20241019,27
84,Silver Coin #84 has been found in #HuntTheMouse Singapore!,5O_N-eaV1Xo,https://www.youtube.com/shorts/5O_N-eaV1Xo,20241019,17
85,Silver Coin #85 has been found in #HuntTheMouse Singapore!,VdvW3n8quoE,https://www.youtube.com/shorts/VdvW3n8quoE,20241021,18
86,Silver Coin #86 has been found in #HuntTheMouse Singapore!,iV9Q8uJ6zSE,https://www.youtube.com/shorts/iV9Q8uJ6zSE,20241022,17
87,Silver Coin #87 has been found in #HuntTheMouse Singapore!,jEFGFzNt5p8,https://www.youtube.com/shorts/jEFGFzNt5p8,20241019,20
88,Silver Coin #88 has been found in #HuntTheMouse Singapore!,oFmNVrEqGTU,https://www.youtube.com/shorts/oFmNVrEqGTU,20241019,9
89,Silver Coin #89  has been found in #HuntTheMouse Singapore!,wAtV6q0wJ5w,https://www.youtube.com/shorts/wAtV6q0wJ5w,20241019,16
90,Silver Coin #90 has been found in #HuntTheMouse Singapore!,oVszJVjsgHM,https://www.youtube.com/shorts/oVszJVjsgHM,20241019,20
91,Silver Coin #91 has been found in #HuntTheMouse Singapore!,l0h0HKRmVbE,https://www.youtube.com/shorts/l0h0HKRmVbE,20241019,11
