coin_number,series,title,views,short_id,url
4,Mystery Cities,Silver Coin #4 has been found in #HuntTheMouse — Mystery Cities JKT!,1.9K views,ZWJclD6sS6I,https://www.youtube.com/shorts/ZWJclD6sS6I
4,Mystery Cities,Silver Coin #4 has been found in #HuntTheMouse — Mystery Cities HCM!,1.5K views,_rRwhwo01a4,https://www.youtube.com/shorts/_rRwhwo01a4
4,Mystery Cities,Silver Coin #4 has been found in #HuntTheMouse — Mystery Cities KL!,1.8K views,ckTpkb1CbFM,https://www.youtube.com/shorts/ckTpkb1CbFM
4,SG60 Edition,Silver Coin #4 has been found in Revolut #HuntTheMouse — SG60 Edition!,591 views,6RTJlqxJtVY,https://www.youtube.com/shorts/6RTJlqxJtVY
4,Sentosa Edition,Sentosa Silver Coin #4 has been found in #HuntTheMouse — Sentosa Edition!,1.6K views,1J8vHhkL6B0,https://www.youtube.com/shorts/1J8vHhkL6B0
4,Singapore,Silver Coin #4 has been found in #HuntTheMouse Singapore!,705 views,HOm3aLvtAXk,https://www.youtube.com/shorts/HOm3aLvtAXk
4,Singapore,Silver Coin #4 has been found in #HuntTheMouse Singapore!,4.3K views,LidgzIgiquE,https://www.youtube.com/shorts/LidgzIgiquE
4,pandamart,Silver Coin #4 has been found in pandamart #HuntTheMouse!,1.5K views,jPeuomgP_y4,https://www.youtube.com/shorts/jPeuomgP_y4
5,Ho Chi Minh City,Silver Coin #5 has been found in #HuntTheMouse — Ho Chi Minh City!,688 views,kM305Q0RnkQ,https://www.youtube.com/shorts/kM305Q0RnkQ
5,Mystery Cities,Silver Coin #5 has been found in #HuntTheMouse — Mystery Cities JKT!,2.6K views,70CRjJ5VZg0,https://www.youtube.com/shorts/70CRjJ5VZg0
5,Mystery Cities,Silver Coin #5 has been found in #HuntTheMouse — Mystery Cities KL!,768 views,MWFXtdGmqQU,https://www.youtube.com/shorts/MWFXtdGmqQU
5,Mystery Cities,Silver Coin #5 has been found in #HuntTheMouse — Mystery Cities TYO!,672 views,RQ4HD6yPpQ0,https://www.youtube.com/shorts/RQ4HD6yPpQ0
5,Mystery Cities,Silver Coin #5 has been found in #HuntTheMouse — Mystery Cities HCM!,398 views,XEc7AIY98FQ,https://www.youtube.com/shorts/XEc7AIY98FQ
5,SG60 Edition,Silver Coin #5 has been found in Revolut #HuntTheMouse — SG60 Edition!,540 views,ikdn-k4Ug7c,https://www.youtube.com/shorts/ikdn-k4Ug7c
5,Sentosa Edition,Sentosa Silver Coin #5 has been found in #HuntTheMouse — Sentosa Edition!,990 views,ziOdl1MR9No,https://www.youtube.com/shorts/ziOdl1MR9No
5,Singapore,Silver Coin #5 has been found in #HuntTheMouse Singapore!,699 views,YCftUsZQh9s,https://www.youtube.com/shorts/YCftUsZQh9s
5,Singapore,Silver Coin #5 has been found in #HuntTheMouse Singapore!,956 views,b4JIem7lUn8,https://www.youtube.com/shorts/b4JIem7lUn8
5,pandamart,Silver Coin #5 has been found in pandamart #HuntTheMouse!,1K views,_d4b-ZMGmjI,https://www.youtube.com/shorts/_d4b-ZMGmjI
6,SG60 Edition,Silver Coin #6  has been found in Revolut #HuntTheMouse — SG60 Edition!,607 views,SVfjqBOnJ_w,https://www.youtube.com/shorts/SVfjqBOnJ_w
6,Sentosa Edition,Sentosa Silver Coin #6 has been found in #HuntTheMouse — Sentosa Edition!,929 views,BQaBxubH9uc,https://www.youtube.com/shorts/BQaBxubH9uc
6,Singapore,Silver Coin #6 has been found in #HuntTheMouse Singapore!,835 views,8wOYb8E6ql8,https://www.youtube.com/shorts/8wOYb8E6ql8
6,Singapore,Silver Coin #6 has been found in #HuntTheMouse Singapore!,2.2K views,R90RupEizx8,https://www.youtube.com/shorts/R90RupEizx8
6,pandamart,Silver Coin #6 has been found in pandamart #HuntTheMouse!,700 views,C1xB7d7UkHQ,https://www.youtube.com/shorts/C1xB7d7UkHQ
7,Ho Chi Minh City,Silver Coin #7 has been found in #HuntTheMouse — Ho Chi Minh City!,753 views,NlBACYD4-Lk,https://www.youtube.com/shorts/NlBACYD4-Lk
7,SG60 Edition,Silver Coin #7 has been found in Revolut #HuntTheMouse — SG60 Edition!,593 views,f7b-M4Y4eIY,https://www.youtube.com/shorts/f7b-M4Y4eIY
7,Sentosa Edition,Sentosa Silver Coin #7 has been found in #HuntTheMouse — Sentosa Edition!,839 views,OwtaoWNUF8w,https://www.youtube.com/shorts/OwtaoWNUF8w
7,Singapore,Silver Coin #7 has been found in #HuntTheMouse Singapore!,1.8K views,K7x9hL4Xj74,https://www.youtube.com/shorts/K7x9hL4Xj74
7,Singapore,Silver Coin #7 has been found in #HuntTheMouse Singapore!,555 views,XB8xwQHh5yk,https://www.youtube.com/shorts/XB8xwQHh5yk
7,pandamart,Silver Coin #7 has been found in pandamart #HuntTheMouse!,791 views,c9KsWV8uUsA,https://www.youtube.com/shorts/c9KsWV8uUsA
8,Ho Chi Minh City,Silver Coin #8 has been found in #HuntTheMouse — Ho Chi Minh City!,322 views,dyZDF8eV9ZU,https://www.youtube.com/shorts/dyZDF8eV9ZU
8,Ho Chi Minh City,Silver Coin #8 has been found in #HuntTheMouse — Ho Chi Minh City!,605 views,ftFQzQmca9Q,https://www.youtube.com/shorts/ftFQzQmca9Q
8,Sentosa Edition,Sentosa Silver Coin #8 has been found in #HuntTheMouse — Sentosa Edition!,362 views,9fT-KMMDhEs,https://www.youtube.com/shorts/9fT-KMMDhEs
8,Singapore,Silver Coin #8 has been found in #HuntTheMouse Singapore!,3.1K views,1CTFltr5Rds,https://www.youtube.com/shorts/1CTFltr5Rds
8,Singapore,Silver Coin #8 has been found in #HuntTheMouse Singapore!,1.1K views,M8dje7LciXw,https://www.youtube.com/shorts/M8dje7LciXw
8,pandamart,Silver Coin #8 has been found in pandamart #HuntTheMouse!,3.8K views,RtvxA42DHlQ,https://www.youtube.com/shorts/RtvxA42DHlQ
9,SG60 Edition,Silver Coin #9  has been found in Revolut #HuntTheMouse — SG60 Edition!,922 views,binO9_h0WzU,https://www.youtube.com/shorts/binO9_h0WzU
9,Sentosa Edition,Sentosa Silver Coin #9 has been found in #HuntTheMouse — Sentosa Edition!,623 views,TIhP8gwZ3Iw,https://www.youtube.com/shorts/TIhP8gwZ3Iw
9,Singapore,Silver Coin #9 has been found in #HuntTheMouse Singapore!,2.1K views,CPsya-A3quk,https://www.youtube.com/shorts/CPsya-A3quk
9,Singapore,Silver Coin #9 has been found in #HuntTheMouse Singapore!,607 views,_sL5d3cfUlY,https://www.youtube.com/shorts/_sL5d3cfUlY
9,pandamart,Silver Coin #9 has been found in pandamart #HuntTheMouse!,1.1K views,l2_PhL_czSc,https://www.youtube.com/shorts/l2_PhL_czSc
10,Ho Chi Minh City,Coin Silver Coin #10 has been found in #HuntTheMouse — Ho Chi Minh City!,196 views,IwXDyu13UGM,https://www.youtube.com/shorts/IwXDyu13UGM
10,Other,Silver Coin #10 has been found in #HuntTheMouse — Silver Burger Quest!,2.2K views,XcsCoViJU1Q,https://www.youtube.com/shorts/XcsCoViJU1Q
10,SG60 Edition,Silver Coin #10 has been found in Revolut #HuntTheMouse — SG60 Edition!,403 views,MF9qMW6YSUE,https://www.youtube.com/shorts/MF9qMW6YSUE
10,Sentosa Edition,Sentosa Silver Coin #10 has been found in #HuntTheMouse — Sentosa Edition!,748 views,tkwXg__YzHY,https://www.youtube.com/shorts/tkwXg__YzHY
10,Singapore,Silver Coin #10 has been found in #HuntTheMouse Singapore!,901 views,R4x9XpY25-s,https://www.youtube.com/shorts/R4x9XpY25-s
10,Singapore,Silver Coin #10 has been found in #HuntTheMouse Singapore!,1.5K views,Wsp6XLmR8Co,https://www.youtube.com/shorts/Wsp6XLmR8Co
10,pandamart,Silver Coin #10 has been found in pandamart #HuntTheMouse!,768 views,7Dbt1e0-nAw,https://www.youtube.com/shorts/7Dbt1e0-nAw
11,SG60 Edition,Silver Coin #11 has been found in Revolut #HuntTheMouse — SG60 Edition!,578 views,NMCTHFKEPAk,https://www.youtube.com/shorts/NMCTHFKEPAk
11,Sentosa Edition,Sentosa Silver Coin #11 has been found in #HuntTheMouse — Sentosa Edition!,1K views,yi0nzPAGFhI,https://www.youtube.com/shorts/yi0nzPAGFhI
11,Singapore,Silver Coin #11 has been found in #HuntTheMouse Singapore!,1.4K views,2BV4KbtVa5Y,https://www.youtube.com/shorts/2BV4KbtVa5Y
11,Singapore,Silver Coin #11 has been found in #HuntTheMouse Singapore!,700 views,vC4cLqnoYTA,https://www.youtube.com/shorts/vC4cLqnoYTA
11,pandamart,Silver Coin #11 has been found in pandamart #HuntTheMouse!,1K views,t1chzLfHTCI,https://www.youtube.com/shorts/t1chzLfHTCI
12,Ho Chi Minh City,Silver Coin #12 has been found in #HuntTheMouse — Ho Chi Minh City!,666 views,KhGV5py9zXw,https://www.youtube.com/shorts/KhGV5py9zXw
