coin_number,title,short_id,url,upload_date,duration
42,Silver Coin #42 has been found in Revolut #HuntTheMouse — SG60 Edition!,RqFOilogaNg,https://www.youtube.com/shorts/RqFOilogaNg,20251028,16
43,Silver Coin #43 has been found in Revolut #HuntTheMouse — SG60 Edition!,fzuemJtC4SI,https://www.youtube.com/shorts/fzuemJtC4SI,20251027,21
44,Silver Coin #44 has been found in Revolut #HuntTheMouse — SG60 Edition!,AzzGZW7tOPk,https://www.youtube.com/shorts/AzzGZW7tOPk,20251027,17
45,Silver Coin #45 has been found in Revolut #HuntTheMouse — SG60 Edition!,gY77SqNGRGM,https://www.youtube.com/shorts/gY77SqNGRGM,20251027,22
46,Silver Coin #46 has been found in Revolut #HuntTheMouse — SG60 Edition!,T1DVVJGYw_o,https://www.youtube.com/shorts/T1DVVJGYw_o,20251117,19
47,Silver Coin #47 has been found in Revolut #HuntTheMouse — SG60 Edition!,apwXPwf_tX4,https://www.youtube.com/shorts/apwXPwf_tX4,20251028,20
48,Silver Coin #48 has been found in Revolut #HuntTheMouse — SG60 Edition!,kPEKADx6oNA,https://www.youtube.com/shorts/kPEKADx6oNA,20251116,16
49,Silver Coin #49 has been found in Revolut #HuntTheMouse — SG60 Edition!,MBjsYGRHUAM,https://www.youtube.com/shorts/MBjsYGRHUAM,20251117,20
50,Silver Coin #50 has been found in Revolut #HuntTheMouse — SG60 Edition!,bxE6QVIzRUw,https://www.youtube.com/shorts/bxE6QVIzRUw,20251118,20
51,Silver Coin #51 has been found in Revolut #HuntTheMouse — SG60 Edition!,_3WDmj8bNLA,https://www.youtube.com/shorts/_3WDmj8bNLA,20251102,18
52,Silver Coin #52 has been found in Revolut #HuntTheMouse — SG60 Edition!,UHzKHHWs0no,https://www.youtube.com/shorts/UHzKHHWs0no,20251116,23
53,Silver Coin #53 has been found in Revolut #HuntTheMouse — SG60 Edition!,QZMtRDlLVnc,https://www.youtube.com/shorts/QZMtRDlLVnc,20251105,22
54,Silver Coin #54 has been found in Revolut #HuntTheMouse — SG60 Edition!,InhMby7RpAQ,https://www.youtube.com/shorts/InhMby7RpAQ,20251108,18
55,Silver Coin #55 has been found in Revolut #HuntTheMouse — SG60 Edition!,gruSMZ4P9dc,https://www.youtube.com/shorts/gruSMZ4P9dc,20251109,18
56,Silver Coin #56 has been found in Revolut #HuntTheMouse — SG60 Edition!,RvknUrA0wHQ,https://www.youtube.com/shorts/RvknUrA0wHQ,20251115,18
57,Silver Coin #57 has been found in Revolut #HuntTheMouse — SG60 Edition!,ifRDU9Jqm2E,https://www.youtube.com/shorts/ifRDU9Jqm2E,20251116,17
58,Silver Coin #58 has been found in Revolut #HuntTheMouse — SG60 Edition!,mUgBlwJKCd8,https://www.youtube.com/shorts/mUgBlwJKCd8,20251116,16
59,Silver Coin #59 has been found in Revolut #HuntTheMouse — SG60 Edition!,L5JftrVLh6c,https://www.youtube.com/shorts/L5JftrVLh6c,20251116,30
60,Silver Coin #60 has been found in Revolut #HuntTheMouse — SG60 Edition!,5si_Lux3Dn8,https://www.youtube.com/shorts/5si_Lux3Dn8,20251117,21
61,Silver Coin #61 has been found in Revolut #HuntTheMouse — SG60 Edition!,zyl-Q91ZpiM,https://www.youtube.com/shorts/zyl-Q91ZpiM,20251120,17
62,Silver Coin #62 has been found in Revolut #HuntTheMouse — SG60 Edition!,HTFtt3mQKxg,https://www.youtube.com/shorts/HTFtt3mQKxg,20251119,20
63,Silver Coin #63 has been found in Revolut #HuntTheMouse — SG60 Edition!,gS5cImefyyQ,https://www.youtube.com/shorts/gS5cImefyyQ,20251121,16
64,Silver Coin #64 has been found in Revolut #HuntTheMouse — SG60 Edition!,Q9vR1ZYLvRU,https://www.youtube.com/shorts/Q9vR1ZYLvRU,20251122,16
65,Silver Coin #65 has been found in Revolut #HuntTheMouse — SG60 Edition!,mRVj09QozOM,https://www.youtube.com/shorts/mRVj09QozOM,20251122,17
66,Silver Coin #66 has been found in Revolut #HuntTheMouse — SG60 Edition!,UlkX0gqr3sM,https://www.youtube.com/shorts/UlkX0gqr3sM,20251122,17
67,Silver Coin #67 has been found in Revolut #HuntTheMouse — SG60 Edition!,QZco4ririmE,https://www.youtube.com/shorts/QZco4ririmE,20251122,23
68,Silver Coin #68 has been found in Revolut #HuntTheMouse — SG60 Edition!,zF2aZNjevXM,https://www.youtube.com/shorts/zF2aZNjevXM,20251122,18
69,Silver Coin #69 has been found in Revolut #HuntTheMouse — SG60 Edition!,lfaXx_2zsT0,https://www.youtube.com/shorts/lfaXx_2zsT0,20251124,17
70,Silver Coin #70 has been found in Revolut #HuntTheMouse — SG60 Edition!,qPKss6b2w8I,https://www.youtube.com/shorts/qPKss6b2w8I,20251124,25
